epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7284,1.38374,9.89652,0.70311,2.56511,1.69633,0.53429,0.52632,0.63975,0.37449,0,0,0,0,1.38581,10.3794,0.70334,3.00657,1.89568,0.00022,0.00022,0.00022
2,19.257,1.2429,9.1376,0.72578,1.31454,1.55978,0.6875,0.57895,0.54863,0.27573,0,0,0,0,1.33535,9.78366,0.70992,10.3407,2.12951,0.000455446,0.000455446,0.000455446
3,23.2797,1.24103,8.39742,0.71075,1.32824,1.57274,0.2,0.73684,0.22641,0.0852,0,0,0,0,1.80514,9.2605,0.73456,32.9376,2.74758,0.00068614,0.00068614,0.00068614
4,27.2057,1.29815,8.23449,0.68432,1.24964,1.61168,0.0171,0.18421,0.00563,0.00148,0,0,0,0,3.4341,9.85841,0.69686,75.3716,3.92618,0.000912082,0.000912082,0.000912082
5,31.2116,1.46605,7.89963,0.6814,1.44432,1.7703,0.01198,0.15789,0.00469,0.0008,0,0,0,0,4.8976,11.5732,1.58482,480.969,29.5211,0.00113327,0.00113327,0.00113327
6,35.1455,1.43928,7.7932,0.67108,1.4388,1.72813,0.04339,0.39474,0.03293,0.009,0,0,0,0,3.79394,10.1608,0.67557,75.8968,7.2887,0.00134971,0.00134971,0.00134971
7,39.0607,1.35424,7.52686,0.65602,1.41832,1.66333,0.02577,0.13158,0.01183,0.00316,0,0,0,0,3.06672,9.72349,0.76055,29.1822,5.0076,0.0015614,0.0015614,0.0015614
8,42.9068,1.50441,7.07873,0.63809,1.43088,1.80774,0.00341,0.63158,0.0028,0.0008,0.00059,0.02632,0.00016,4e-05,3.1027,9.42451,0.79598,181.972,5.35611,0.00176833,0.00176833,0.00176833
9,47.09,1.51188,7.40165,0.63123,1.39767,1.80574,0.03856,0.18421,0.01411,0.00328,0,0,0,0,3.94283,10.3896,0.90022,95.8754,7.14712,0.0018416,0.0018416,0.0018416
10,50.9873,1.508,7.61924,0.63831,1.35545,1.76238,0.19284,0.36842,0.10962,0.0277,0.00432,0.02632,0.00068,0.00024,3.33575,10.7058,1.05446,14.4855,9.16578,0.0018218,0.0018218,0.0018218
11,54.854,1.52667,7.19465,0.63134,1.36244,1.75263,0.12461,0.36842,0.13281,0.03906,0.00146,0.02632,0.00011,2e-05,2.45221,8.69918,0.67056,18.2067,3.5357,0.001802,0.001802,0.001802
