epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6339,0.92844,10.6198,0.67813,0.99458,1.39984,0.90885,0.81429,0.92314,0.56852,0,0,0,0,1.26258,10.2658,0.41073,5.78667,2.45059,0.000660317,0.000660317,0.000660317
2,71.1817,1.10493,9.86656,0.62929,1.0101,1.4967,0.17157,0.90952,0.17107,0.09238,0.00071,0.00476,4e-05,1e-05,1.40994,8.50403,0.38637,38.76,2.02828,0.00131385,0.00131385,0.00131385
3,108.212,1.16066,9.54768,0.59754,1.0837,1.52083,0.74947,0.80476,0.82999,0.56192,0.00042,0.00476,1e-05,1e-05,1.23146,9.11552,0.33921,2.84533,1.94175,0.00195418,0.00195418,0.00195418
4,147.297,1.15572,9.08221,0.58028,1.03009,1.5096,0.92057,0.88305,0.96765,0.73688,0.0202,0.01429,0.00098,0.00013,0.91206,7.36248,0.32418,1.06284,1.58008,0.0019406,0.0019406,0.0019406
5,187.756,1.10113,8.56995,0.55623,0.968,1.47176,0.8868,0.89532,0.95968,0.65222,0.04031,0.02857,0.00307,0.00039,1.04947,7.48461,0.41346,0.97261,1.64657,0.0019208,0.0019208,0.0019208
6,227.107,1.05873,8.25668,0.54742,0.93534,1.45212,0.90822,0.96667,0.96968,0.72876,0.11173,0.11905,0.01734,0.002,0.90368,6.18557,0.42534,0.79178,1.48076,0.001901,0.001901,0.001901
7,265.745,1.05101,8.04534,0.52179,0.9071,1.45347,0.97942,0.9619,0.99076,0.77047,0.31342,0.27619,0.1008,0.015,0.81636,5.52628,0.35364,0.65094,1.35567,0.0018812,0.0018812,0.0018812
8,306.387,0.99836,7.725,0.50823,0.8897,1.39375,0.92676,0.96405,0.96897,0.76077,0.36394,0.34762,0.15854,0.02055,0.80019,5.21829,0.34966,0.79515,1.34655,0.0018614,0.0018614,0.0018614
9,346.063,0.98432,7.60214,0.50959,0.86597,1.3955,0.95339,0.9619,0.98739,0.76087,0.0601,0.05238,0.00618,0.00077,0.83771,6.10198,0.37247,0.69511,1.36468,0.0018416,0.0018416,0.0018416
10,385.224,0.9364,7.47044,0.48909,0.82505,1.35266,0.98284,0.99048,0.99315,0.81907,0.348,0.32857,0.18363,0.02542,0.74223,5.15219,0.36564,0.54264,1.25826,0.0018218,0.0018218,0.0018218
11,425.218,0.93867,7.23016,0.49079,0.81434,1.36497,0.96692,0.97432,0.99117,0.81527,0.30866,0.2615,0.09454,0.01289,0.72249,5.18009,0.28476,0.64866,1.23495,0.001802,0.001802,0.001802
12,464.362,0.88414,7.13531,0.47271,0.75588,1.31549,0.98583,0.9937,0.99388,0.80466,0.33563,0.33333,0.13953,0.01903,0.72082,4.96208,0.32394,0.58845,1.3155,0.0017822,0.0017822,0.0017822
13,503.226,0.8854,7.0409,0.46512,0.74224,1.3219,0.98634,0.98571,0.99418,0.80652,0.38503,0.38571,0.17873,0.02419,0.7255,4.77395,0.2945,0.53281,1.26116,0.0017624,0.0017624,0.0017624
14,542.293,0.86604,6.98597,0.45765,0.72636,1.29954,0.95474,0.97619,0.98919,0.82131,0.43851,0.42857,0.25478,0.03542,0.71277,4.89475,0.36384,0.60897,1.23759,0.0017426,0.0017426,0.0017426
15,583.56,0.80547,6.76589,0.44586,0.68415,1.27071,0.9999,0.98571,0.99486,0.86137,0.47546,0.46667,0.29883,0.0464,0.62362,4.75009,0.30509,0.44998,1.17347,0.0017228,0.0017228,0.0017228
16,624.664,0.79592,6.72697,0.43467,0.68625,1.25263,0.98014,0.99524,0.99365,0.86712,0.54271,0.54253,0.38262,0.06794,0.59165,4.37329,0.28164,0.44178,1.13881,0.001703,0.001703,0.001703
17,663.806,0.79905,6.5641,0.42997,0.67969,1.25606,0.97645,0.98741,0.9908,0.82878,0.54698,0.52381,0.36101,0.05618,0.62886,4.54265,0.28862,0.4784,1.1764,0.0016832,0.0016832,0.0016832
18,703.728,0.79727,6.56667,0.42887,0.68369,1.26495,0.98739,0.99524,0.99481,0.85603,0.51004,0.51429,0.36387,0.054,0.60628,4.55863,0.30355,0.43999,1.14971,0.0016634,0.0016634,0.0016634
19,741.581,0.80164,6.47835,0.42443,0.66887,1.26162,0.97662,0.99468,0.99389,0.84008,0.45212,0.4,0.25501,0.03779,0.65616,4.61505,0.29876,0.45418,1.20771,0.0016436,0.0016436,0.0016436
20,780.965,0.79638,6.43722,0.42245,0.65213,1.2583,0.9881,0.99048,0.99452,0.88155,0.5436,0.51429,0.33732,0.04944,0.54703,4.51084,0.23412,0.44293,1.0986,0.0016238,0.0016238,0.0016238
21,820.269,0.77188,6.42912,0.40784,0.66472,1.24343,0.97623,0.97801,0.99053,0.84829,0.41255,0.3619,0.22373,0.04174,0.63809,4.62892,0.22727,0.44961,1.17012,0.001604,0.001604,0.001604
22,860.073,0.76111,6.33162,0.4093,0.6527,1.2345,0.9952,0.98668,0.99495,0.85202,0.46383,0.45714,0.32407,0.06164,0.61532,4.4231,0.26145,0.44572,1.12351,0.0015842,0.0015842,0.0015842
23,899.601,0.76236,6.33301,0.39927,0.63532,1.21144,0.98116,0.9919,0.99486,0.86628,0.47104,0.47619,0.34217,0.05966,0.60616,4.61747,0.24297,0.43903,1.15915,0.0015644,0.0015644,0.0015644
24,938.563,0.75916,6.15342,0.38833,0.63628,1.2342,0.99521,0.98935,0.99481,0.88398,0.63345,0.60073,0.52221,0.07809,0.54395,4.33868,0.21501,0.38835,1.08522,0.0015446,0.0015446,0.0015446
25,978.053,0.70072,6.05589,0.38778,0.65419,1.17723,0.9837,0.99524,0.99476,0.87594,0.59904,0.57143,0.39572,0.06198,0.56412,4.30117,0.23481,0.39753,1.11745,0.0015248,0.0015248,0.0015248
26,1017.53,0.74729,5.96747,0.38178,0.5998,1.2164,0.97996,0.98571,0.99443,0.83921,0.61429,0.60476,0.46875,0.07057,0.63689,4.35497,0.23681,0.43743,1.14488,0.001505,0.001505,0.001505
27,1056.11,0.71985,6.08874,0.37691,0.6006,1.18618,0.97819,0.98571,0.99434,0.87871,0.59914,0.60476,0.47099,0.08131,0.5525,4.26863,0.21015,0.39477,1.09383,0.0014852,0.0014852,0.0014852
28,1095.1,0.71296,6.01817,0.37477,0.58177,1.198,0.99011,0.98095,0.99453,0.89002,0.5964,0.59048,0.41577,0.0766,0.49252,4.17749,0.22932,0.3871,1.03979,0.0014654,0.0014654,0.0014654
29,1135.62,0.70939,5.99852,0.36985,0.58498,1.21191,0.99315,0.99048,0.99486,0.84981,0.61684,0.61429,0.44348,0.08149,0.63581,4.1233,0.2299,0.40838,1.13361,0.0014456,0.0014456,0.0014456
30,1173.97,0.67687,5.86587,0.36984,0.56647,1.16886,0.99519,0.98616,0.9949,0.90366,0.63597,0.63227,0.51231,0.08923,0.47555,4.11159,0.20069,0.35491,1.01476,0.0014258,0.0014258,0.0014258
31,1214.27,0.69084,5.80504,0.3671,0.56163,1.17709,0.99693,0.98095,0.99486,0.90358,0.70868,0.70476,0.63792,0.11505,0.47601,4.01882,0.19576,0.34626,1.02249,0.001406,0.001406,0.001406
32,1255.12,0.66903,5.79911,0.35974,0.63674,1.16309,0.9904,0.98234,0.99457,0.89933,0.63336,0.62857,0.47515,0.07967,0.49666,4.15775,0.20108,0.36844,1.02043,0.0013862,0.0013862,0.0013862
33,1295.66,0.69241,5.82965,0.35264,0.58316,1.17046,1,0.98336,0.99491,0.9074,0.66769,0.67619,0.48678,0.08337,0.45624,3.96524,0.17756,0.35919,0.99192,0.0013664,0.0013664,0.0013664
34,1334.02,0.63405,5.64143,0.35708,0.52971,1.15186,1,0.98333,0.9949,0.90291,0.6735,0.6619,0.52723,0.09185,0.45743,4.04847,0.22467,0.36346,1.00491,0.0013466,0.0013466,0.0013466
35,1373.2,0.63347,5.74125,0.3365,0.52504,1.14042,0.99046,0.98827,0.99481,0.90221,0.68996,0.68571,0.60232,0.10409,0.47778,4.01677,0.17056,0.36562,1.00825,0.0013268,0.0013268,0.0013268
36,1412.11,0.6653,5.80189,0.3601,0.53341,1.15239,0.99127,0.98571,0.99486,0.90144,0.54592,0.54286,0.41653,0.06341,0.45965,4.25287,0.21407,0.35009,1.0056,0.001307,0.001307,0.001307
37,1450.88,0.63012,5.68844,0.34256,0.52243,1.14486,0.99525,0.99812,0.99495,0.90586,0.71522,0.71757,0.65593,0.13776,0.43872,3.94025,0.1759,0.33343,0.98222,0.0012872,0.0012872,0.0012872
38,1491.47,0.63493,5.59893,0.33207,0.51799,1.14967,0.99053,0.99579,0.99495,0.91343,0.70953,0.69524,0.63027,0.13606,0.46422,4.00036,0.18827,0.33687,0.99875,0.0012674,0.0012674,0.0012674
39,1532.33,0.6379,5.63103,0.33786,0.50404,1.13861,0.98974,0.99048,0.99466,0.90198,0.75978,0.7619,0.65885,0.12313,0.48649,3.88762,0.17541,0.34996,1.01567,0.0012476,0.0012476,0.0012476
40,1571.3,0.6138,5.53907,0.34727,0.50907,1.12536,0.98548,0.99524,0.99486,0.91262,0.7681,0.77619,0.70429,0.11967,0.45162,3.94733,0.18076,0.33253,1.00218,0.0012278,0.0012278,0.0012278
41,1610.28,0.64602,5.50702,0.33513,0.50024,1.13587,0.98071,1,0.99453,0.91585,0.78448,0.8,0.74681,0.16364,0.44183,3.81118,0.18034,0.32755,0.98601,0.001208,0.001208,0.001208
42,1650.49,0.62685,5.56776,0.33588,0.51794,1.1449,0.9859,0.99912,0.99476,0.92389,0.64008,0.65238,0.5765,0.11607,0.44198,3.98618,0.18431,0.33603,0.99163,0.0011882,0.0011882,0.0011882
43,1689.79,0.64187,5.49136,0.33228,0.52685,1.1417,0.9859,0.99914,0.99471,0.90737,0.75107,0.76148,0.64782,0.11241,0.44046,3.89549,0.18465,0.32835,0.98267,0.0011684,0.0011684,0.0011684
